lead_time,no_of_special_requests,avg_price_per_room,no_of_weekend_nights,no_of_week_nights,temperature_max,market_segment_type,windspeed_max,arrival_month,arrival_date,booking_status
26.0,0.0,161.0,2.0,1.0,22.0,4,10.1,10.0,17.0,1
98.0,2.0,121.5,1.0,1.0,29.1,4,12.9,7.0,16.0,1
433.0,0.0,70.0,0.0,3.0,22.5,3,8.1,9.0,8.0,0
195.0,0.0,72.25,2.0,5.0,26.2,3,20.5,8.0,8.0,1
188.0,0.0,130.0,0.0,2.0,22.0,3,11.8,6.0,15.0,0
74.0,1.0,112.5,0.0,3.0,18.4,4,20.9,4.0,6.0,0
273.0,0.0,95.0,1.0,2.0,14.2,3,18.2,5.0,13.0,0
6.0,0.0,66.3,1.0,3.0,3.0,4,24.5,12.0,15.0,1
89.0,1.0,83.66,2.0,5.0,7.0,4,17.7,3.0,21.0,1
56.0,1.0,180.0,2.0,0.0,7.4,4,27.2,3.0,20.0,0
103.0,1.0,114.3,1.0,5.0,24.7,4,13.3,7.0,12.0,1
155.0,0.0,117.42,4.0,11.0,20.4,4,12.7,8.0,30.0,0
3.0,0.0,128.8,0.0,1.0,21.3,4,12.8,6.0,11.0,1
180.0,0.0,120.0,1.0,2.0,24.5,3,21.7,10.0,10.0,0
92.0,2.0,89.85,0.0,4.0,24.7,4,13.3,7.0,12.0,1
56.0,0.0,82.0,0.0,2.0,16.0,3,9.1,9.0,17.0,1
279.0,0.0,110.0,0.0,3.0,25.0,4,26.7,10.0,12.0,0
134.0,1.0,114.3,0.0,2.0,23.1,4,21.1,8.0,10.0,1
8.0,1.0,139.0,0.0,2.0,14.2,4,12.5,3.0,25.0,1
10.0,2.0,172.0,2.0,2.0,11.9,4,22.4,4.0,29.0,1
2.0,1.0,148.0,2.0,0.0,25.5,4,10.4,8.0,21.0,1
52.0,1.0,79.5,1.0,2.0,-0.4,4,29.1,2.0,26.0,0
116.0,0.0,61.0,2.0,1.0,-0.2,3,26.6,2.0,28.0,0
89.0,0.0,186.3,0.0,2.0,25.0,4,14.5,7.0,21.0,0
193.0,0.0,120.0,1.0,2.0,26.6,4,8.0,6.0,20.0,0
92.0,0.0,90.0,0.0,1.0,13.2,3,26.7,11.0,11.0,1
95.0,1.0,130.5,2.0,3.0,31.5,4,15.0,7.0,1.0,1
6.0,1.0,109.0,1.0,3.0,4.1,4,24.4,2.0,4.0,0
60.0,1.0,106.2,1.0,2.0,10.9,4,20.9,4.0,1.0,1
359.0,1.0,105.0,2.0,2.0,24.9,4,8.8,9.0,16.0,0
